Word,Synonym
dhṛtarāṣṭraḥuvāca,King Dhṛtarāṣṭra said
dharma-kṣetre,in the place of pilgrimage
kuru-kṣetre,in the place named Kurukṣetra
samavetāḥ,assembled
yuyutsavaḥ,desiring to fight
māmakāḥ,my party (sons)
pāṇḍavāḥ,the sons of Pāṇḍu
ca,and
eva,certainly
kim,what
akurvata,did they do
sañjaya,O Sañjaya.
sañjayaḥuvāca,Sañjaya said
dṛṣṭvā,after seeing
tu,but
pāṇḍava-anīkam,the soldiers of the Pāṇḍavas
vyūḍham,arranged in a military phalanx
duryodhanaḥ,King Duryodhana
tadā,at that time
ācāryam,the teacher
upasaṅgamya,approaching
rājā,the king
vacanam,words
abravīt,spoke.
paśya,behold
etām,this
pāṇḍu-putrānām,of the sons of Pāṇḍu
ācārya,O teacher
mahatīm,great
camūm,military force
vyūḍhām,arranged
drupada-putreṇa,by the son of Drupada
tava,your
śiṣyeṇa,disciple
dhī-matā,very intelligent.
atra,here
śūrāḥ,heroes
mahā-iṣu-āsāḥ,mighty bowmen
bhīma-arjuna,to Bhīma and Arjuna
samāḥ,equal
yudhi,in the fight
yuyudhānaḥ,Yuyudhāna
virāṭaḥ,Virāṭa
ca,also
drupadaḥ,Drupada
ca,also
mahā-rathaḥ,great fighter.
dhṛṣṭaketuḥ,Dhṛṣṭaketu
cekitānaḥ,Cekitāna
kāśirājaḥ,Kāśirāja
ca,also
vīrya-vān,very powerful
purujit,Purujit
kuntibhojaḥ,Kuntibhoja
ca,and
śaibyaḥ,Śaibya
ca,and
nara-puṅgavaḥ,hero in human society.
yudhāmanyuḥ,Yudhāmanyu
ca,and
vikrāntaḥ,mighty
uttamaujāḥ,Uttamaujā
ca,and
vīrya-vān,very powerful
saubhadraḥ,the son of Subhadrā
draupadeyāḥ,the sons of Draupadī
ca,and
sarve,all
eva,certainly
mahā-rathāḥ,great chariot fighters.
asmākam,our
tu,but
viśiṣṭāḥ,especially powerful
ye,who
tān,them
nibodha,"just take note of, be informed"
dvija-uttama,O best of thebrāhmaṇas
nāyakāḥ,captains
mama,my
sainyasya,of the soldiers
saṁjñā-artham,for information
tān,them
bravīmi,I am speaking
te,to you.
bhavān,your good self
bhīṣmaḥ,Grandfather Bhīṣma
ca,also
karṇaḥ,Karṇa
ca,and
kṛpaḥ,Kṛpa
ca,and
samitim-jayaḥ,always victorious in battle
aśvatthāmā,Aśvatthāmā
vikarṇaḥ,Vikarṇa
ca,as well as
saumadattiḥ,the son of Somadatta
tathā,as well as
eva,certainly
ca,also.
anye,others
ca,also
bahavaḥ,in great numbers
śūrāḥ,heroes
mat-arthe,for my sake
tyakta-jīvitāḥ,prepared to risk life
nānā,many
śastra,weapons
praharaṇāḥ,equipped with
sarve,all of them
yuddha-viśāradāḥ,experienced in military science.
aparyāptam,immeasurable
tat,that
asmākam,of ours
balam,strength
bhīṣma,by Grandfather Bhīṣma
abhirakṣitam,perfectly protected
paryāptam,limited
tu,but
idam,all this
eteṣām,of the Pāṇḍavas
balam,strength
bhīma,by Bhīma
abhirakṣitam,carefully protected.
ayaneṣu,in the strategic points
ca,also
sarveṣu,everywhere
yathā-bhāgam,as differently arranged
avasthitāḥ,situated
bhīṣmam,unto Grandfather Bhīṣma
eva,certainly
abhirakṣantu,should give support
bhavantaḥ,you
sarve,all respectively
evahi,certainly.
tasya,his
sañjanayan,increasing
harṣam,cheerfulness
kuru-vṛddhaḥ,the grandsire of the Kuru dynasty (Bhīṣma)
pitāmahaḥ,the grandfather
siṁha-nādam,"roaring sound, like that of a lion"
vinadya,vibrating
uccaiḥ,very loudly
śaṅkham,conchshell
dadhmau,blew
pratāpa-vān,the valiant.
tataḥ,thereafter
śaṅkhāḥ,conchshells
ca,also
bheryaḥ,large drums
ca,and
paṇava-ānaka,small drums and kettledrums
go-mukhāḥ,horns
sahasā,all of a sudden
eva,certainly
abhyahanyanta,were simultaneously sounded
saḥ,that
śabdaḥ,combined sound
tumulaḥ,tumultuous
abhavat,became.
tataḥ,thereafter
śvetaiḥ,with white
hayaiḥ,horses
yukte,being yoked
mahati,in a great
syandane,chariot
sthitau,situated
mādhavaḥ,Kṛṣṇa (the husband of the goddess of fortune)
pāṇḍavaḥ,Arjuna (the son of Pāṇḍu)
ca,also
eva,certainly
divyau,transcendental
śaṅkhau,conchshells
pradadhmatuḥ,sounded.
pāñcajanyam,the conchshell named Pāñcajanya
hṛṣīka-īśaḥ,"Hṛṣīkeśa (Kṛṣṇa, the Lord who directs the senses of the devotees)"
devadattam,the conchshell named Devadatta
dhanam-jayaḥ,"Dhanañjaya (Arjuna, the winner of wealth)"
pauṇḍram,the conchnamed Pauṇḍra
dadhmau,blew
mahā-śaṅkham,the terrificconchshell
bhīma-karmā,one who performs herculean tasks
vṛka-udaraḥ,the voracious eater (Bhīma).
sañjayaḥuvāca,Sañjaya said
tam,unto Arjuna
tathā,thus
kṛpayā,by compassion
āviṣṭam,overwhelmed
aśru-pūrṇa-ākula,full of tears
īkṣaṇam,eyes
viṣīdantam,lamenting
idam,these
vākyam,words
uvāca,said
madhu-sūdanaḥ,the killer of Madhu.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
kutaḥ,wherefrom
tvā,unto you
kaśmalam,dirtiness
idam,this lamentation
viṣame,in this hour of crisis
samupasthitam,arrived
anārya,persons who do not know the value of life
juṣṭam,practiced by
asvargyam,which does not lead to higher planets
akīrti,infamy
karam,the cause of
arjuna,O Arjuna.
klaibyam,impotence
māsma,do not
gamaḥ,take to
pārtha,O son of Pṛthā
na,never
etat,this
tvayi,unto you
upapadyate,is befitting
kṣudram,petty
hṛdaya,of the heart
daurbalyam,weakness
tyaktvā,giving up
uttiṣṭha,get up
param-tapa,O chastiser of the enemies.
arjunaḥuvāca,Arjuna said
katham,how
bhīṣmam,Bhīṣma
aham,I
saṅkhye,in the fight
droṇam,Droṇa
ca,also
madhu-sūdana,O killer of Madhu
iṣubhiḥ,with arrows
pratiyotsyāmi,shall counterattack
pūjā-arhau,those who are worshipable
ari-sūdana,O killer of the enemies.
gurūn,the superiors
ahatvā,not killing
hi,certainly
mahā-anubhāvān,great souls
śreyaḥ,it is better
bhoktum,to enjoy life
bhaikṣyam,by begging
api,even
iha,in this life
loke,in this world
hatvā,killing
artha,gain
kāmān,desiring
tu,but
gurūn,superiors
iha,in this world
eva,certainly
bhuñjīya,one has to enjoy
bhogān,enjoyable things
rudhira,blood
pradigdhān,tainted with.
na,nor
ca,also
etat,this
vidmaḥ,do we know
katarat,which
naḥ,for us
garīyaḥ,better
yatvā,whether
jayema,we may conquer
yadi,if
vā,or
naḥ,us
jayeyuḥ,they conquer
yān,those who
eva,certainly
hatvā,by killing
na,never
jijīviṣāmaḥ,we would want to live
te,all of them
avasthitāḥ,are situated
pramukhe,in the front
dhārtarāṣṭrāḥ,the sons of Dhṛtarāṣṭra.
kārpaṇya,of miserliness
doṣa,by the weakness
upahata,being afflicted
svabhāvaḥ,characteristics
pṛcchāmi,I am asking
tvām,unto You
dharma,religion
sammūḍha,bewildered
cetāḥ,in heart
yat,what
śreyaḥ,all-good
syāt,may be
niścitam,confidently
brūhi,tell
tat,that
me,unto me
śiṣyaḥ,disciple
te,Your
aham,I am
śādhi,just instruct
mām,me
tvām,unto You
prapannam,surrendered.
na,do not
hi,certainly
prapaśyāmi,I see
mama,my
apanudyāt,can drive away
yat,that which
śokam,lamentation
ucchoṣaṇam,drying up
indriyāṇām,of the senses
avāpya,achieving
bhūmau,on the earth
asapatnam,without rival
ṛddham,prosperous
rājyam,kingdom
surāṇām,of the demigods
api,even
ca,also
ādhipatyam,supremacy.
sañjayaḥuvāca,Sañjaya said
evam,thus
uktvā,speaking
hṛṣīkeśam,"unto Kṛṣṇa, the master of the senses"
guḍākeśaḥ,"Arjuna, the master of curbing ignorance"
param-tapaḥ,the chastiser of the enemies
nayotsye,I shall not fight
iti,thus
govindam,"unto Kṛṣṇa, the giver of pleasure to the senses"
uktvā,saying
tūṣṇīm,silent
babhūva,became
ha,certainly.
tam,unto him
uvāca,said
hṛṣīkeśaḥ,"the master of the senses, Kṛṣṇa"
prahasan,smiling
iva,like that
bhārata,"O Dhṛtarāṣṭra, descendant of Bharata"
senayoḥ,of the armies
ubhayoḥ,of both parties
madhye,between
viṣīdantam,unto the lamenting one
idam,the following
vacaḥ,words.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
aśocyān,not worthy of lamentation
anvaśocaḥ,you are lamenting
tvam,you
prajñā-vādān,learned talks
ca,also
bhāṣase,speaking
gata,lost
asūn,life
agata,not passed
asūn,life
ca,also
na,never
anuśocanti,lament
paṇḍitāḥ,the learned.
na,never
tu,but
eva,certainly
aham,I
jātu,at any time
na,did not
āsam,exist
na,not
tvam,you
na,not
ime,all these
jana-adhipāḥ,kings
na,never
ca,also
eva,certainly
na,not
bhaviṣyāmaḥ,shall exist
sarvevayam,all of us
ataḥparam,hereafter.
dehinaḥ,of the embodied
asmin,in this
yathā,as
dehe,in the body
kaumāram,boyhood
yauvanam,youth
jarā,old age
tathā,similarly
deha-antara,of transference of the body
prāptiḥ,achievement
dhīraḥ,the sober
tatra,thereupon
na,never
muhyati,is deluded.
mātrā-sparśāḥ,sensory perception
tu,only
kaunteya,O son of Kuntī
śīta,winter
uṣṇa,summer
sukha,happiness
duḥkha,and pain
dāḥ,giving
āgama,appearing
apāyinaḥ,disappearing
anityāḥ,nonpermanent
tān,all of them
titikṣasva,just try to tolerate
bhārata,O descendant of the Bharata dynasty.
yam,one to whom
hi,certainly
na,never
vyathayanti,are distressing
ete,all these
puruṣam,to a person
puruṣa-ṛṣabha,O best among men
sama,unaltered
duḥkha,in distress
sukham,and happiness
dhīram,patient
saḥ,he
amṛtatvāya,for liberation
kalpate,is considered eligible.
na,never
asataḥ,of the nonexistent
vidyate,there is
bhāvaḥ,endurance
na,never
abhāvaḥ,changing quality
vidyate,there is
sataḥ,of the eternal
ubhayoḥ,of the two
api,verily
dṛṣṭaḥ,observed
antaḥ,conclusion
tu,indeed
anayoḥ,of them
tattva,of the truth
darśibhiḥ,by the seers.
avināśi,imperishable
tu,but
tat,that
viddhi,know it
yena,by whom
sarvam,all of the body
idam,this
tatam,pervaded
vināśam,destruction
avyayasya,of the imperishable
asya,of it
nakaścit,no one
kartum,to do
arhati,is able.
anta-vantaḥ,perishable
ime,all these
dehāḥ,material bodies
nityasya,eternal in existence
uktāḥ,are said
śarīriṇaḥ,of the embodied soul
anāśinaḥ,never to be destroyed
aprameyasya,immeasurable
tasmāt,therefore
yudhyasva,fight
bhārata,O descendant of Bharata.
yaḥ,anyone who
enam,this
vetti,knows
hantāram,the killer
yaḥ,anyone who
ca,also
enam,this
manyate,thinks
hatam,killed
ubhau,both
tau,they
na,never
vijānītaḥ,are in knowledge
na,never
ayam,this
hanti,kills
na,nor
hanyate,is killed.
na,never
jāyate,takes birth
mriyate,dies
vā,either
kadācit,"at any time (past, present or future)"
na,never
ayam,this
bhūtvā,having come into being
bhavitā,will come to be
vā,or
na,not
bhūyaḥ,or is again coming to be
ajaḥ,unborn
nityaḥ,eternal
śāśvataḥ,permanent
ayam,this
purāṇaḥ,the oldest
na,never
hanyate,is killed
hanyamāne,being killed
śarīre,the body.
veda,knows
avināśinam,indestructible
nityam,always existing
yaḥ,one who
enam,this (soul)
ajam,unborn
avyayam,immutable
katham,how
saḥ,that
puruṣaḥ,person
pārtha,O Pārtha (Arjuna)
kam,whom
ghātayati,causes to hurt
hanti,kills
kam,whom.
vāsāṁsi,garments
jīrṇāni,old and worn out
yathā,just as
vihāya,giving up
navāni,new garments
gṛhṇāti,does accept
naraḥ,a man
aparāṇi,others
tathā,in the same way
śarīrāṇi,bodies
vihāya,giving up
jirṇāni,old and useless
anyāni,different
saṁyāti,verily accepts
navāni,new sets
dehī,the embodied.
na,never
enam,this soul
chindanti,can cut to pieces
śastrāṇi,weapons
na,never
enam,this soul
dahati,burns
pāvakaḥ,fire
na,never
ca,also
enam,this soul
kledayanti,moistens
āpaḥ,water
na,never
śoṣayati,dries
mārutaḥ,wind.
acchedyaḥ,unbreakable
ayam,this soul
adāhyaḥ,unable to be burned
ayam,this soul
akledyaḥ,insoluble
aśoṣyaḥ,not able to be dried
eva,certainly
ca,and
nityaḥ,everlasting
sarva-gataḥ,all-pervading
sthāṇuḥ,unchangeable
acalaḥ,immovable
ayam,this soul
sanātanaḥ,eternally the same.
avyaktaḥ,invisible
ayam,this soul
acintyaḥ,inconceivable
ayam,this soul
avikāryaḥ,unchangeable
ayam,this soul
ucyate,is said
tasmāt,therefore
evam,like this
viditvā,knowing it well
enam,this soul
na,do not
anuśocitum,to lament
arhasi,you deserve.
atha,"if, however"
ca,also
enam,this soul
nitya-jātam,always born
nityam,forever
vā,either
manyase,you so think
mṛtam,dead
tathāapi,still
tvam,you
mahā-bāho,O mighty-armed one
na,never
enam,about the soul
śocitum,to lament
arhasi,deserve.
jātasya,of one who has taken his birth
hi,certainly
dhruvaḥ,a fact
mṛtyuḥ,death
dhruvam,it is also a fact
janma,birth
mṛtasya,of the dead
ca,also
tasmāt,therefore
aparihārye,of that which is unavoidable
arthe,in the matter
na,do not
tvam,you
śocitum,to lament
arhasi,deserve.
avyakta-ādīni,in the beginning unmanifested
bhūtāni,all that are created
vyakta,manifested
madhyāni,in the middle
bhārata,O descendant of Bharata
avyakta,nonmanifested
nidhanāni,when vanquished
eva,it is all like that
tatra,therefore
kā,what
paridevanā,lamentation.
āścarya-vat,as amazing
paśyati,sees
kaścit,someone
enam,this soul
āścarya-vat,as amazing
vadati,speaks of
tathā,thus
eva,certainly
ca,also
anyaḥ,another
āścarya-vat,similarly amazing
ca,also
enam,this soul
anyaḥ,another
śṛṇoti,hears of
śrutvā,having heard
api,even
enam,this soul
veda,knows
na,never
ca,and
eva,certainly
kaścit,someone.
dehī,the owner of the material body
nityam,eternally
avadhyaḥ,cannot be killed
ayam,this soul
dehe,in the body
sarvasya,of everyone
bhārata,O descendant of Bharata
tasmāt,therefore
sarvāṇi,all
bhūtāni,living entities (that are born)
na,never
tvam,you
śocitum,to lament
arhasi,deserve.
sva-dharmam,one’s own religious principles
api,also
ca,indeed
avekṣya,considering
na,never
vikampitum,to hesitate
arhasi,you deserve
dharmyāt,for religious principles
hi,indeed
yuddhāt,than fighting
śreyaḥ,better engagement
anyat,any other
kṣatriyasya,of thekṣatriya
na,does not
vidyate,exist.
yadṛcchayā,by its own accord
ca,also
upapannam,arrived at
svarga,of the heavenly planets
dvāram,door
apāvṛtam,wide open
sukhinaḥ,very happy
kṣatriyāḥ,the members of the royal order
pārtha,O son of Pṛthā
labhante,do achieve
yuddham,war
īdṛśam,like this.
atha,therefore
cet,if
tvam,you
imam,this
dharmyam,as a religious duty
saṅgrāmam,fighting
na,do not
kariṣyasi,perform
tataḥ,then
sva-dharmam,your religious duty
kīrtim,reputation
ca,also
hitvā,losing
pāpam,sinful reaction
avāpsyasi,will gain.
akīrtim,infamy
ca,also
api,over and above
bhūtāni,all people
kathayiṣyanti,will speak
te,of you
avyayām,forever
sambhāvitasya,for a respectable man
ca,also
akīrtiḥ,ill fame
maraṇāt,than death
atiricyate,becomes more.
bhayāt,out of fear
raṇāt,from the battlefield
uparatam,ceased
maṁsyante,they will consider
tvām,you
mahā-rathāḥ,the great generals
yeṣām,for whom
ca,also
tvam,you
bahu-mataḥ,in great estimation
bhūtvā,having been
yāsyasi,you will go
lāghavam,decreased in value.
avācya,unkind
vādān,fabricated words
ca,also
bahūn,many
vadiṣyanti,will say
tava,your
ahitāḥ,enemies
nindantaḥ,while vilifying
tava,your
sāmarthyam,ability
tataḥ,than that
duḥkha-taram,more painful
nu,of course
kim,what is there.
hataḥ,being killed
vā,either
prāpsyasi,you gain
svargam,the heavenly kingdom
jitvā,by conquering
vā,or
bhokṣyase,you enjoy
mahīm,the world
tasmāt,therefore
uttiṣṭha,get up
kaunteya,O son of Kuntī
yuddhāya,to fight
kṛta,determined
niścayaḥ,in certainty.
sukha,happiness
duḥkhe,and distress
same,in equanimity
kṛtvā,doing so
lābha-alābhau,both profit and loss
jaya-ajayau,both victory and defeat
tataḥ,thereafter
yuddhāya,for the sake of fighting
yujyasva,engage (fight)
na,never
evam,in this way
pāpam,sinful reaction
avāpsyasi,you will gain.
eṣā,all this
te,unto you
abhihitā,described
sāṅkhye,in analytical study
buddhiḥ,intelligence
yoge,in work without fruitive result
tu,but
imām,this
śṛṇu,just hear
buddhyā,by intelligence
yuktaḥ,dovetailed
yayā,by which
pārtha,O son of Pṛthā
karma-bandham,bondage of reaction
prahāsyasi,you can be released from.
na,there is not
iha,in thisyoga
abhikrama,in endeavoring
nāśaḥ,loss
asti,there is
pratyavāyaḥ,diminution
na,never
vidyate,there is
su-alpam,a little
api,although
asya,of this
dharmasya,occupation
trāyate,releases
mahataḥ,from very great
bhayāt,danger.
vyavasāya-ātmikā,resolute in Kṛṣṇa consciousness
buddhiḥ,intelligence
ekā,only one
iha,in this world
kuru-nandana,O beloved child of the Kurus
bahu-śākhāḥ,having various branches
hi,indeed
anantāḥ,unlimited
ca,also
buddhayaḥ,intelligence
avyavasāyinām,of those who are not in Kṛṣṇa consciousness.
arjunaḥuvāca,Arjuna said
jyāyasī,better
cet,if
karmaṇaḥ,than fruitive action
te,by You
matā,is considered
buddhiḥ,intelligence
janārdana,O Kṛṣṇa
tat,therefore
kim,why
karmaṇi,in action
ghore,ghastly
mām,me
niyojayasi,You are engaging
keśava,O Kṛṣṇa.
vyāmiśreṇa,by equivocal
iva,certainly
vākyena,words
buddhim,intelligence
mohayasi,You are bewildering
iva,certainly
me,my
tat,therefore
ekam,only one
vada,please tell
niścitya,ascertaining
yena,by which
śreyaḥ,real benefit
aham,I
āpnuyām,may have.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
loke,in the world
asmin,this
dvi-vidhā,two kinds of
niṣṭhā,faith
purā,formerly
proktā,were said
mayā,by Me
anagha,O sinless one
jñāna-yogena,by the linking process of knowledge
sāṅkhyānām,of the empiric philosophers
karma-yogena,by the linking process of devotion
yoginām,of the devotees.
na,not
karmaṇām,of prescribed duties
anārambhāt,by nonperformance
naiṣkarmyam,freedom from reaction
puruṣaḥ,a man
aśnute,achieves
na,nor
ca,also
sannyasanāt,by renunciation
eva,simply
siddhim,success
samadhigacchati,attains.
na,nor
hi,certainly
kaścit,anyone
kṣaṇam,a moment
api,also
jātu,at any time
tiṣṭhati,remains
akarma-kṛt,without doing something
kāryate,is forced to do
hi,certainly
avaśaḥ,helplessly
karma,work
sarvaḥ,all
prakṛti-jaiḥ,born of the modes of material nature
guṇaiḥ,by the qualities.
karma-indriyāṇi,the five working sense organs
saṁyamya,controlling
yaḥ,anyone who
āste,remains
manasā,by the mind
smaran,thinking of
indriya-arthān,sense objects
vimūḍha,foolish
ātmā,soul
mithyā-ācāraḥ,pretender
saḥ,he
ucyate,is called.
yaḥ,one who
tu,but
indriyāṇi,the senses
manasā,by the mind
niyamya,regulating
ārabhate,begins
arjuna,O Arjuna
karma-indriyaiḥ,by the active sense organs
karma-yogam,devotion
asaktaḥ,without attachment
saḥ,he
viśiṣyate,is by far the better.
niyatam,prescribed
kuru,do
karma,duties
tvam,you
karma,work
jyāyaḥ,better
hi,certainly
akarmaṇaḥ,than no work
śarīra,bodily
yātrā,maintenance
api,even
ca,also
te,your
na,never
prasidhyet,is effected
akarmaṇaḥ,without work.
yajña-arthāt,"done only for the sake of Yajña, or Viṣṇu"
karmaṇaḥ,than work
anyatra,otherwise
lokaḥ,world
ayam,this
karma-bandhanaḥ,bondage by work
tat,of Him
artham,for the sake
karma,work
kaunteya,O son of Kuntī
mukta-saṅgaḥ,liberated from association
samācara,do perfectly.
saha,along with
yajñāḥ,sacrifices
prajāḥ,generations
sṛṣṭvā,creating
purā,anciently
uvāca,said
prajā-patiḥ,the Lord of creatures
anena,by this
prasaviṣyadhvam,be more and more prosperous
eṣaḥ,this
vaḥ,your
astu,let it be
iṣṭa,of all desirable things
kāma-dhuk,bestower.
devān,demigods
bhāvayatā,having pleased
anena,by this sacrifice
te,those
devāḥ,demigods
bhāvayantu,will please
vaḥ,you
parasparam,mutually
bhāvayantaḥ,pleasing one another
śreyaḥ,benediction
param,the supreme
avāpsyatha,you will achieve.
iṣṭān,desired
bhogān,necessities of life
hi,certainly
vaḥ,unto you
devāḥ,the demigods
dāsyante,will award
yajña-bhāvitāḥ,being satisfied by the performance of sacrifices
taiḥ,by them
dattān,things given
apradāya,without offering
ebhyaḥ,to these demigods
yaḥ,he who
bhuṅkte,enjoys
stenaḥ,thief
eva,certainly
saḥ,he.
yajña-śiṣṭa,of food taken after performance ofyajña
aśinaḥ,eaters
santaḥ,the devotees
mucyante,get relief
sarva,all kinds of
kilbiṣaiḥ,from sins
bhuñjate,enjoy
te,they
tu,but
agham,grievous sins
pāpāḥ,sinners
ye,who
pacanti,prepare food
ātma-kāraṇāt,for sense enjoyment.
annāt,from grains
bhavanti,grow
bhūtāni,the material bodies
parjanyāt,from rains
anna,of food grains
sambhavaḥ,production
yajñāt,from the performance of sacrifice
bhavati,becomes possible
parjanyaḥ,rain
yajñaḥ,performance ofyajña
karma,prescribed duties
samudbhavaḥ,born of.
karma,work
brahma,from theVedas
udbhavam,produced
viddhi,you should know
brahma,theVedas
akṣara,from the Supreme Brahman (Personality of Godhead)
samudbhavam,directly manifested
tasmāt,therefore
sarva-gatam,all-pervading
brahma,transcendence
nityam,eternally
yajñe,in sacrifice
pratiṣṭhitam,situated.
evam,thus
pravartitam,established by theVedas
cakram,cycle
na,does not
anuvartayati,adopt
iha,in this life
yaḥ,one who
agha-āyuḥ,whose life is full of sins
indriya-ārāmaḥ,satisfied in sense gratification
mogham,uselessly
pārtha,O son of Pṛthā (Arjuna)
saḥ,he
jīvati,lives.
yaḥ,one who
tu,but
ātma-ratiḥ,taking pleasure in the Self
eva,certainly
syāt,remains
ātma-tṛptaḥ,self-illuminated
ca,and
mānavaḥ,a man
ātmani,in himself
eva,only
ca,and
santuṣṭaḥ,perfectly satiated
tasya,his
kāryam,duty
na,does not
vidyate,exist.
na,never
eva,certainly
tasya,his
kṛtena,by discharge of duty
arthaḥ,purpose
na,nor
akṛtena,without discharge of duty
iha,in this world
kaścana,whatever
na,never
ca,and
asya,of him
sarva-bhūteṣu,among all living beings
kaścit,any
artha,purpose
vyapāśrayaḥ,taking shelter of.
tasmāt,therefore
asaktaḥ,without attachment
satatam,constantly
kāryam,as duty
karma,work
samācara,perform
asaktaḥ,unattached
hi,certainly
ācaran,performing
karma,work
param,the Supreme
āpnoti,achieves
pūruṣaḥ,a man.
karmaṇā,by work
eva,even
hi,certainly
saṁsiddhim,in perfection
āsthitāḥ,situated
janaka-ādayaḥ,Janaka and other kings
loka-saṅgraham,the people in general
evaapi,also
sampaśyan,considering
kartum,to act
arhasi,you deserve.
yatyat,whatever
ācarati,he does
śreṣṭhaḥ,a respectable leader
tat,that
tat,and that alone
eva,certainly
itaraḥ,common
janaḥ,person
saḥ,he
yat,whichever
pramāṇam,example
kurute,does perform
lokaḥ,all the world
tat,that
anuvartate,follows in the footsteps.
na,not
me,Mine
pārtha,O son of Pṛthā
asti,there is
kartavyam,prescribed duty
triṣu,in the three
lokeṣu,planetary systems
kiñcana,any
na,nothing
anavāptam,wanted
avāptavyam,to be gained
varte,I am engaged
eva,certainly
ca,also
karmaṇi,in prescribed duty.
yadi,if
hi,certainly
aham,I
na,do not
varteyam,thus engage
jātu,ever
karmaṇi,in the performance of prescribed duties
atandritaḥ,with great care
mama,My
vartma,path
anuvartante,would follow
manuṣyāḥ,all men
pārtha,O son of Pṛthā
sarvaśaḥ,in all respects.
utsīdeyuḥ,would be put into ruin
ime,all these
lokāḥ,worlds
na,not
kuryām,I perform
karma,prescribed duties
cet,if
aham,I
saṅkarasya,of unwanted population
ca,and
kartā,creator
syām,would be
upahanyām,would destroy
imāḥ,all these
prajāḥ,living entities.
saktāḥ,being attached
karmaṇi,in prescribed duties
avidvāṁsaḥ,the ignorant
yathā,as much as
kurvanti,they do
bhārata,O descendant of Bharata
kuryāt,must do
vidvān,the learned
tathā,thus
asaktaḥ,without attachment
cikīrṣuḥ,desiring to lead
loka-saṅgraham,the people in general.
na,not
buddhi-bhedam,disruption of intelligence
janayet,he should cause
ajñānām,of the foolish
karma-saṅginām,who are attached to fruitive work
joṣayet,he should dovetail
sarva,all
karmāṇi,work
vidvān,a learned person
yuktaḥ,engaged
samācaran,practicing.
prakṛteḥ,of material nature
kriyamāṇāni,being done
guṇaiḥ,by the modes
karmāṇi,activities
sarvaśaḥ,all kinds of
ahaṅkāra-vimūḍha,bewildered by false ego
ātmā,the spirit soul
kartā,doer
aham,I
iti,thus
manyate,he thinks.
tattva-vit,the knower of the Absolute Truth
tu,but
mahā-bāho,O mighty-armed one
guṇa-karma,of works under material influence
vibhāgayoḥ,differences
guṇāḥ,senses
guṇeṣu,in sense gratification
vartante,are being engaged
iti,thus
matvā,thinking
na,never
sajjate,becomes attached.
prakṛteḥ,of material nature
guṇa,by the modes
sammūḍhāḥ,befooled by material identification
sajjante,they become engaged
guṇa-karmasu,in material activities
tān,those
akṛtsna-vidaḥ,persons with a poor fund of knowledge
mandān,lazy to understand self-realization
